,사업지역(시군구),포획일자,포획장소,몸무게(kg),성별,상태,TNR일자,TNR병원,방사일자,방사장소,방사포획일치
0,중구,2024-05-01,시청,4.87,수컷,방사,2024-05-01,대구시수의사회(동산),2024-05-03,시청,True
1,달성군,2024-05-01,현풍동로29길13-33,3.0,암컷,방사,2024-05-01,동행동물병원,2024-05-04,현풍동로29길13-33,True
2,수성구,2024-05-01,청호로 438,3.3,수컷,방사,2024-05-01,세인트동물병원,2024-05-02,청호로 438,True
3,중구,2024-05-01,남산 2동 남산교회,4.4,수컷,방사,2024-05-01,대구시수의사회(동산),2024-05-13,남산교회 인근,True
4,수성구,2024-05-01,들안로 48길 43,4.36,암컷,방사,2024-05-01,신세계동물병원,2024-05-04,들안로 48길 43,True
5,북구,2024-05-01,대구시 북구 서변로,6.2,수컷,방사,2024-05-01,가나동물병원,2024-05-02,대구시 북구 서변로 109,True
6,중구,2024-05-01,대신동 ok마트,5.12,수컷,방사,2024-05-01,대구시수의사회(동산),2024-05-02,대신동 ok마트,True
7,북구,2024-05-01,대구시 북구 서변로 109,6.4,수컷,방사,2024-05-01,가나동물병원,2024-05-02,대구시 북구 서변로 109,True
8,달성군,2024-05-01,현풍동로29길13-33,4.0,수컷,방사,2024-05-01,동행동물병원,2024-05-02,현풍동로29길13-33,True
9,수성구,2024-05-01,용학로 35길 62,2.4,수컷,방사,2024-05-02,멘토동물병원,2024-05-03,용학로 35길 62,True
10,중구,2024-05-01,문우관길 14 ,3.35,암컷,방사,2024-05-01,대구시수의사회(삼덕),2024-05-04,문우관길 14,True
11,서구,2024-05-01,서구 비산동 27-8일대,5.0,수컷,방사,2024-05-01,대구시수의사회(보경),2024-05-02,서구 비산동 27-8일대,True
12,달성군,2024-05-01,대구광역시 달성군 화원읍 명곡로 11 (명곡미래빌 1단지),5.1,수컷,방사,2024-05-01,화원연합동물병원,2024-05-02,화원 명곡로 11,True
13,달성군,2024-05-01,대구광역시 달성군 화원읍 화암로 120 (명곡미래빌4단지),3.3,암컷,방사,2024-05-01,화원연합동물병원,2024-05-04,명곡미래빌 4단지,True
14,중구,2024-04-30,경북여고 인근,2.8,수컷,방사,2024-05-01,대구시수의사회(동산),2024-05-02,경북여고 인근,True
15,달성군,2024-04-30,비슬로967,4.5,수컷,방사,2024-04-30,동행동물병원,2024-05-01,비슬로967,True
16,달서구,2024-04-30,달서구 상인동 산 25-1 원기사,2.46,암컷,방사,2024-04-30,애플동물병원,2024-05-03,달서구 상인동산25-1 원기사,True
17,북구,2024-04-30,북구 동천로 138-14,4.7,수컷,방사,2024-04-30,강동물병원,2024-05-01,북구 동천로 138-14,True
18,서구,2024-04-30,내당동12-37,3.3,수컷,방사,2024-04-30,대구시수의사회(더펫),2024-05-01,내당동12-37,True
19,동구,2024-04-30,대구시 동구 방촌로 11길 26,3.46,수컷,방사,2024-04-30,율하동물병원,2024-05-01,대구시 동구 방촌로 11길 26,True
20,서구,2024-04-30,내당동12-37,3.0,수컷,방사,2024-04-30,대구시수의사회(더펫),2024-05-01,내당동12-37,True
21,수성구,2024-04-30,용학로 42길 13,3.2,수컷,방사,2024-04-30,멘토동물병원,2024-05-01,용학로 42길 13,True
22,동구,2024-04-30,대구광역시 동구 국채보상로 159길 38,3.3,암컷,방사,2024-04-30,동대구동물의료센터,2024-05-03,대구광역시 동구 국채보상로159길 38,True
23,서구,2024-04-30,평리로35길62,3.7,암컷,방사,2024-04-30,대구시수의사회(삼성),2024-05-03,평리로35길62,True
24,수성구,2024-04-30,무학로 35길 114,3.9,암컷,방사,2024-04-30,멘토동물병원,2024-05-03,무학로 35길 114,True
25,달서구,2024-04-30,대구시 달서구 대명천로 59,3.5,수컷,방사,2024-04-30,두류동물병원,2024-05-01,대구시 달서구 대명천로 59,True
26,북구,2024-04-30,대구시 북구 서변로 109,3.6,수컷,방사,2024-04-30,가나동물병원,2024-05-01,대구시 북구 서변로 109,True
27,북구,2024-04-30,대구시 북구 서변로,3.5,수컷,방사,2024-04-30,가나동물병원,2024-05-01,대구시 북구 서변로 109,True
28,달성군,2024-04-30,대구광역시 달성군 화원읍 사문진로 340 ,4.1,수컷,방사,2024-04-30,화원연합동물병원,2024-05-01,화원읍 사문진로 340,True
29,동구,2024-04-30,대구시 동구 방촌로 11길 26,3.58,수컷,방사,2024-04-30,율하동물병원,2024-05-01,대구시 동구 방촌로 11길 26,True
30,달서구,2024-04-29,대구시 달서구 성당로 39길 49-1,4.1,암컷,방사,2024-04-29,두류동물병원,2024-05-02,달서구 성당로 39길 49-1,True
31,북구,2024-04-29,대구시 북구 산격로 1길 18,5.3,수컷,방사,2024-04-29,가나동물병원,2024-04-30,대구시 북구 산격로 1길 18,True
32,달서구,2024-04-29,대구광역시 달서구 상인서로 94,5.18,수컷,방사,2024-04-29,초록동물병원,2024-04-30,대구광역시 달서구 상인서로 94,True
33,달서구,2024-04-29,대구광역시 달서구 상인서로 94,4.38,수컷,방사,2024-04-29,초록동물병원,2024-04-30,대구광역시 달서구 상인서로 94,True
34,달서구,2024-04-29,대구시 달서구 장기로 88-25,2.36,암컷,방사,2024-04-29,두류동물병원,2024-05-02,대구시 달서구 장기로 88-25,True
35,달서구,2024-04-29,대구광역시 달서구 문화회관11안길 12 (장동),3.7,암컷,방사,2024-04-29,본리종합동물병원,2024-05-02,대구광역시 달서구 문화회관11안길 12 (장동),True
36,수성구,2024-04-29,들안로 48길 43,3.96,수컷,방사,2024-04-29,신세계동물병원,2024-04-30,들안로 48길 43,True
37,수성구,2024-04-29,수성구 범안로 77,4.32,수컷,방사,2024-04-29,멘토동물병원,2024-04-30,범안로 77,True
38,달성군,2024-04-29,다사읍 매곡로 7,4.0,수컷,방사,2024-04-29,119동물병원,2024-04-30,다사읍 매곡로 7,True
39,달성군,2024-04-29,다사읍 매곡로 7,4.0,수컷,방사,2024-04-29,119동물병원,2024-04-30,다사읍 매곡로 7,True
40,수성구,2024-04-29,무학로35길114,4.3,수컷,방사,2024-04-29,제니스동물병원,2024-04-30,무학로35길114,True
41,수성구,2024-04-29,동대구로14길9-12,5.2,수컷,방사,2024-04-29,제니스동물병원,2024-04-30,동대구로14길9-12,True
42,서구,2024-04-29,내당동 463-7,2.76,암컷,방사,2024-04-29,대구수의사회(아이펫),2024-05-02,내당동 463-7,True
43,수성구,2024-04-29,무학로37안길28-19,3.3,암컷,방사,2024-04-29,제니스동물병원,2024-05-02,무학로37안길28-19,True
44,수성구,2024-04-29,동대구로14길9-12,3.0,암컷,방사,2024-04-29,제니스동물병원,2024-05-02,동대구로14길9-12,True
45,달성군,2024-04-29,대구광역시 달성군 화원읍 화암로 120 (명곡미래빌4단지),4.7,수컷,방사,2024-04-29,화원연합동물병원,2024-04-30,화원명곡미래빌 4단지 ,True
46,달성군,2024-04-29,대구광역시 달성군 화원읍 화암로 120 (명곡미래빌4단지),3.4,수컷,방사,2024-04-29,화원연합동물병원,2024-04-30,화원명곡미래빌 4단지 ,True
47,북구,2024-04-27,북구 학정로 106,3.1,암컷,방사,2024-04-27,강동물병원,2024-04-30,북구 학정로 106,True
48,수성구,2024-04-27,동대구로 14길 9-12,2.78,암컷,방사,2024-04-27,신세계동물병원,2024-04-30,동대구로 14길 9-12,True
49,달서구,2024-04-27,대구광역시 달서구 문화회관11안길 12 (장동),3.8,수컷,방사,2024-04-27,본리종합동물병원,2024-04-29,대구광역시 달서구 문화회관11안길 12 (장동),True
50,수성구,2024-04-27,무학로 35길 114,4.38,수컷,방사,2024-04-27,신세계동물병원,2024-04-29,무학로 35길 114,True
51,달서구,2024-04-27,상화로 371,3.41,암컷,방사,2024-04-27,수목원동물병원,2024-04-30,상화로 371,True
52,동구,2024-04-27,대구광역시 동구 팔공로 274 (봉무동 이시아폴리스 더샵 2차),4.0,수컷,방사,2024-04-27,동대구동물의료센터,2024-04-29,대구광역시 동구 팔공로 274,True
53,수성구,2024-04-27,국채보상로186길145,3.3,암컷,방사,2024-04-27,제니스동물병원,2024-04-30,국채보상로186길145,True
54,수성구,2024-04-27,동대구로52길55,3.5,암컷,방사,2024-04-27,제니스동물병원,2024-04-30,동대구로52길55,True
55,서구,2024-04-27,달서천로76길10-1,4.8,수컷,방사,2024-04-27,대구시수의사회(더펫),2024-04-29,달서천로76길10-1,True
