관리번호,사업지역(시도),사업지역(시군구),포획일자,포획장소,털색,몸무게(kg),품종,연령,성별,건강상태,특이사항,상태,TNR일자,TNR병원,방사일자,방사장소,종결정보,포획사진,중성화사진(수술전),중성화사진(수술후),방사사진
4.27341E+14,대구광역시,중구,2024-05-01,시청,밤갈색,4.87,한국고양이,2-3년추정,수컷,양호,없슴,방사,2024-05-01,대구시수의사회(동산),2024-05-03,시청,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071605359.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071605246.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071605313.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071605366.jpg
4.27348E+14,대구광역시,달성군,2024-05-01,현풍동로29길13-33,검정흰색,3,잡종,1살추정,암컷,양호,없음,방사,2024-05-01,동행동물병원,2024-05-04,현풍동로29길13-33,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905525.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905502.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905546.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071905199.jpg
4.27346E+14,대구광역시,수성구,2024-05-01,청호로 438,태비,3.3,코숏,1살,수컷,양호,겁이 많고 날렵함,방사,2024-05-01,세인트동물병원,2024-05-02,청호로 438,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011705205.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011705827.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011705958[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021905432.jpg
4.27341E+14,대구광역시,중구,2024-05-01,남산 2동 남산교회,흰색 검정,4.4,한국고양이,5살이상,수컷,치료요함,없슴,방사,2024-05-01,대구시수의사회(동산),2024-05-13,남산교회 인근,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071605466.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071605163.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071605254[2].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/05/202405191505328.jpg
4.27346E+14,대구광역시,수성구,2024-05-01,들안로 48길 43,삼색,4.36,코숏,6세추정,암컷,양호,양호,방사,2024-05-01,신세계동물병원,2024-05-04,들안로 48길 43,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011805983.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011805124.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011805203.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/20240506170573.jpg
4.27345E+14,대구광역시,북구,2024-05-01,대구시 북구 서변로,노란색,6.2,믹스,4살 추정,수컷,양호,없음,방사,2024-05-01,가나동물병원,2024-05-02,대구시 북구 서변로 109,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031305544.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031305336.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031305482.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/20240503130550.jpg
4.27341E+14,대구광역시,중구,2024-05-01,대신동 ok마트,흰색 검정,5.12,한국고양이,5살이상,수컷,치료요함,왼쪽 눈 위축,방사,2024-05-01,대구시수의사회(동산),2024-05-02,대신동 ok마트,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071605704.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071605939.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071605121.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405071605273.jpg
4.27345E+14,대구광역시,북구,2024-05-01,대구시 북구 서변로 109,검정,6.4,믹스,3살추정,수컷,양호,없음,방사,2024-05-01,가나동물병원,2024-05-02,대구시 북구 서변로 109,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031305749.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031305911.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031305414[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031305213.jpg
4.27348E+14,대구광역시,달성군,2024-05-01,현풍동로29길13-33,갈색검정,4,잡종,2살추정,수컷,양호,없음,방사,2024-05-01,동행동물병원,2024-05-02,현풍동로29길13-33,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905401.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905413.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011905462.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021905405.jpg
4.27346E+14,대구광역시,수성구,2024-05-01,용학로 35길 62,치즈,2.4,코숏,1살,수컷,양호,.,방사,2024-05-02,멘토동물병원,2024-05-03,용학로 35길 62,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021005856.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021005944.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021005139.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405031105363.jpg
4.27341E+14,대구광역시,중구,2024-05-01,문우관길 14 ,흰색검정회색,3.35,코숏,1년추정,암컷,양호,.,방사,2024-05-01,대구시수의사회(삼덕),2024-05-04,문우관길 14,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011705458.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011705662.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405011705690.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405041505894.jpg
4.27343E+14,대구광역시,서구,2024-05-01,서구 비산동 27-8일대,고등어태비,5,코숏,4년령,수컷,치료요함,구내염,방사,2024-05-01,대구시수의사회(보경),2024-05-02,서구 비산동 27-8일대,-,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021105871.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021105827[1].jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021105751.jpg,https://www.animal.go.kr/front/fileMng/imageView.do?f=/files/shelter/2024/04/202405021105234.jpg
