,사업지역(시군구),포획일자,포획장소,털색,몸무게(kg),품종,연령,성별,건강상태,특이사항,상태,TNR일자,TNR병원,방사일자,방사장소,종결정보,장소일치여부
0,중구,2024-05-01,시청,밤갈색,4.87,한국고양이,3살,수컷,양호,없슴,방사,2024-05-01,대구시수의사회(동산),2024-05-03,시청,-,False
1,달성군,2024-05-01,현풍동로29길13-33,검정흰색,3.0,믹스,1살,암컷,양호,없음,방사,2024-05-01,동행동물병원,2024-05-04,현풍동로29길13-33,-,False
2,수성구,2024-05-01,청호로 438,태비,3.3,코숏,1살,수컷,양호,겁이 많고 날렵함,방사,2024-05-01,세인트동물병원,2024-05-02,청호로 438,-,False
3,중구,2024-05-01,남산 2동 남산교회,흰색 검정,4.4,한국고양이,5살,수컷,치료요함,없슴,방사,2024-05-01,대구시수의사회(동산),2024-05-13,남산교회 인근,-,True
4,수성구,2024-05-01,들안로 48길 43,삼색,4.36,코숏,6살,암컷,양호,양호,방사,2024-05-01,신세계동물병원,2024-05-04,들안로 48길 43,-,False
5,북구,2024-05-01,대구시 북구 서변로,노란색,6.2,믹스,4살,수컷,양호,없음,방사,2024-05-01,가나동물병원,2024-05-02,대구시 북구 서변로 109,-,True
6,중구,2024-05-01,대신동 ok마트,흰색 검정,5.12,한국고양이,5살,수컷,치료요함,왼쪽 눈 위축,방사,2024-05-01,대구시수의사회(동산),2024-05-02,대신동 ok마트,-,False
7,북구,2024-05-01,대구시 북구 서변로 109,검정,6.4,믹스,3살,수컷,양호,없음,방사,2024-05-01,가나동물병원,2024-05-02,대구시 북구 서변로 109,-,False
8,달성군,2024-05-01,현풍동로29길13-33,갈색검정,4.0,믹스,2살,수컷,양호,없음,방사,2024-05-01,동행동물병원,2024-05-02,현풍동로29길13-33,-,False
9,수성구,2024-05-01,용학로 35길 62,치즈,2.4,코숏,1살,수컷,양호,.,방사,2024-05-02,멘토동물병원,2024-05-03,용학로 35길 62,-,False
10,중구,2024-05-01,문우관길 14 ,흰색검정회색,3.35,코숏,1살,암컷,양호,.,방사,2024-05-01,대구시수의사회(삼덕),2024-05-04,문우관길 14,-,True
11,서구,2024-05-01,서구 비산동 27-8일대,고등어태비,5.0,코숏,4살,수컷,치료요함,구내염,방사,2024-05-01,대구시수의사회(보경),2024-05-02,서구 비산동 27-8일대,-,False
12,달성군,2024-05-01,대구광역시 달성군 화원읍 명곡로 11 (명곡미래빌 1단지),흰노,5.1,코숏,1살,수컷,양호,양호,방사,2024-05-01,화원연합동물병원,2024-05-02,화원 명곡로 11,-,True
13,달성군,2024-05-01,대구광역시 달성군 화원읍 화암로 120 (명곡미래빌4단지),흰갈,3.3,코숏,1살,암컷,양호,양호,방사,2024-05-01,화원연합동물병원,2024-05-04,명곡미래빌 4단지,-,True
14,중구,2024-04-30,경북여고 인근,흰색 회색,2.8,한국고양이,4살,수컷,양호,없슴,방사,2024-05-01,대구시수의사회(동산),2024-05-02,경북여고 인근,-,False
15,달성군,2024-04-30,비슬로967,노랑흰색,4.5,믹스,1살,수컷,양호,없음,방사,2024-04-30,동행동물병원,2024-05-01,비슬로967,-,False
16,달서구,2024-04-30,달서구 상인동 산 25-1 원기사,흰색 노랑색,2.46,코숏,1살,암컷,양호,없음,방사,2024-04-30,애플동물병원,2024-05-03,달서구 상인동산25-1 원기사,-,True
17,북구,2024-04-30,북구 동천로 138-14,회색,4.7,코숏,1살,수컷,양호,2주항생제투여.외부약도포,방사,2024-04-30,강동물병원,2024-05-01,북구 동천로 138-14,-,False
